flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,terminal,aircraft_type,scheduled_time,scheduled_min,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi,actual_time
2024-06-17,F0001,DL,697,N502DX,ARR,SLC,JFK,T4,narrow,00:11,11,38,8.0,30,27.0,1990.0,
2024-06-17,F0002,B6,2202,N646JB,ARR,FLL,JFK,T5,narrow,00:13,13,15,8.0,7,2.0,1069.0,
2024-06-17,F0003,F9,3548,N394FR,ARR,SJU,JFK,T4,narrow,00:15,15,50,16.0,34,35.0,1598.0,
2024-06-17,F0004,DL,446,N526DE,ARR,SEA,JFK,T4,narrow,00:34,34,53,26.0,27,19.0,2422.0,
2024-06-17,F0005,AA,2973,N343RY,ARR,MIA,JFK,T8,narrow,00:43,43,27,9.0,18,-16.0,1089.0,
2024-06-17,F0006,DL,680,N723TW,ARR,SFO,JFK,T4,narrow,00:45,45,34,9.0,25,-11.0,2586.0,
2024-06-17,F0007,B6,524,N964JT,ARR,LAX,JFK,T5,narrow,00:48,48,29,8.0,21,-19.0,2475.0,
2024-06-17,F0008,DL,938,N174DN,ARR,LAX,JFK,T4,narrow,00:54,54,57,6.0,51,3.0,2475.0,
2024-06-17,F0009,B6,1004,N903JB,ARR,SJU,JFK,T5,narrow,01:13,73,72,12.0,60,-1.0,1598.0,
2024-06-17,F0010,B6,738,N2027J,ARR,BQN,JFK,T5,narrow,01:59,119,220,11.0,209,101.0,1576.0,
2024-06-17,F0011,B6,1114,N984JB,ARR,LAX,JFK,T5,narrow,05:01,301,298,30.0,268,-3.0,2475.0,
2024-06-17,F0012,B6,1190,N946JL,ARR,SAN,JFK,T5,narrow,05:02,302,306,7.0,299,4.0,2446.0,
2024-06-17,F0013,B6,2416,N986JB,ARR,SFO,JFK,T5,narrow,05:04,304,274,8.0,266,-30.0,2586.0,
2024-06-17,F0014,B6,2348,N993JE,ARR,LAS,JFK,T5,narrow,05:04,304,291,13.0,278,-13.0,2248.0,
2024-06-17,F0015,B6,1603,N903JB,DEP,JFK,SJU,T5,narrow,05:05,305,303,20.0,323,-2.0,1598.0,05:03
2024-06-17,F0016,B6,123,N985JT,DEP,JFK,LAX,T5,narrow,05:20,320,349,19.0,368,29.0,2475.0,05:49
2024-06-17,F0017,B6,372,N537JT,ARR,SLC,JFK,T5,narrow,05:22,322,296,6.0,290,-26.0,1990.0,
2024-06-17,F0018,B6,358,N3121J,ARR,BUR,JFK,T5,narrow,05:29,329,330,10.0,320,1.0,2465.0,
2024-06-17,F0019,AA,1032,N313SB,DEP,JFK,MIA,T8,narrow,05:30,330,325,21.0,346,-5.0,1089.0,05:25
2024-06-17,F0020,B6,601,N2047J,DEP,JFK,FLL,T5,narrow,05:40,340,348,21.0,369,8.0,1069.0,05:48
2024-06-17,F0021,DL,409,N179DN,ARR,LAX,JFK,T4,narrow,05:45,345,342,10.0,332,-3.0,2475.0,
2024-06-17,F0022,B6,98,N527JL,ARR,DEN,JFK,T5,narrow,05:45,345,361,7.0,354,16.0,1626.0,
2024-06-17,F0023,F9,3547,N395FR,DEP,JFK,SJU,T4,narrow,05:59,359,359,23.0,382,0.0,1598.0,05:59
2024-06-17,F0024,B6,66,N3123J,ARR,ABQ,JFK,T5,narrow,05:59,359,371,7.0,364,12.0,1826.0,
2024-06-17,F0025,AA,892,N945NN,DEP,JFK,CLT,T8,narrow,05:59,359,393,29.0,422,34.0,541.0,06:33
2024-06-17,F0026,AS,22,N801AK,ARR,SEA,JFK,T7,narrow,06:00,360,378,6.0,372,18.0,2422.0,
2024-06-17,F0027,DL,679,N707TW,ARR,SFO,JFK,T4,narrow,06:00,360,346,6.0,340,-14.0,2586.0,
2024-06-17,F0028,DL,778,N573DT,ARR,LAS,JFK,T4,narrow,06:00,360,347,12.0,335,-13.0,2248.0,
2024-06-17,F0029,DL,2286,N67171,DEP,JFK,ATL,T4,narrow,06:00,360,360,19.0,379,0.0,760.0,06:00
2024-06-17,F0030,DL,2751,N329DN,ARR,DEN,JFK,T4,narrow,06:00,360,374,6.0,368,14.0,1626.0,
2024-06-17,F0031,B6,1073,N3185J,DEP,JFK,BNA,T5,narrow,06:00,360,360,25.0,385,0.0,765.0,06:00
2024-06-17,F0032,B6,281,N827JB,DEP,JFK,IAH,T5,narrow,06:00,360,356,27.0,383,-4.0,1417.0,05:56
2024-06-17,F0033,B6,953,N3139J,DEP,JFK,PBI,T5,narrow,06:00,360,356,21.0,377,-4.0,1028.0,05:56
2024-06-17,F0034,AA,1,N106NN,DEP,JFK,LAX,T8,narrow,06:00,360,357,16.0,373,-3.0,2475.0,05:57
2024-06-17,F0035,B6,519,N3112J,DEP,JFK,ATL,T5,narrow,06:03,363,400,25.0,425,37.0,760.0,06:40
2024-06-17,F0036,AA,10,N101NN,ARR,LAX,JFK,T8,narrow,06:07,367,354,9.0,345,-13.0,2475.0,
2024-06-17,F0037,YX,5765,N230JQ,DEP,JFK,BOS,T8,narrow,06:10,370,369,17.0,386,-1.0,187.0,06:09
2024-06-17,F0038,AA,76,N105NN,DEP,JFK,SFO,T8,narrow,06:15,375,362,22.0,384,-13.0,2586.0,06:02
2024-06-17,F0039,DL,892,N924DZ,DEP,JFK,SLC,T4,narrow,06:15,375,390,19.0,409,15.0,1990.0,06:30
2024-06-17,F0040,YX,5603,N217JQ,ARR,PWM,JFK,T8,narrow,06:29,389,370,7.0,363,-19.0,273.0,
2024-06-17,F0041,DL,705,N575DN,ARR,SLC,JFK,T4,narrow,06:29,389,362,4.0,358,-27.0,1990.0,
2024-06-17,F0042,B6,917,N3162J,ARR,BOS,JFK,T5,narrow,06:30,390,371,6.0,365,-19.0,187.0,
2024-06-17,F0043,B6,136,N3157J,ARR,PHX,JFK,T5,narrow,06:30,390,430,8.0,422,40.0,2153.0,
2024-06-17,F0044,B6,2285,N3023J,DEP,JFK,RDU,T5,narrow,06:30,390,381,30.0,411,-9.0,427.0,06:21
2024-06-17,F0045,B6,1903,N508JL,DEP,JFK,SJU,T5,narrow,06:30,390,396,20.0,416,6.0,1598.0,06:36
2024-06-17,F0046,B6,1529,N3132J,DEP,JFK,RSW,T5,narrow,06:30,390,382,22.0,404,-8.0,1074.0,06:22
2024-06-17,F0047,B6,2725,N3085J,DEP,JFK,TPA,T5,narrow,06:30,390,390,25.0,415,0.0,1005.0,06:30
2024-06-17,F0048,B6,2293,N789JB,DEP,JFK,MIA,T5,narrow,06:30,390,382,21.0,403,-8.0,1089.0,06:22
2024-06-17,F0049,AA,1280,N322TH,ARR,PHX,JFK,T8,narrow,06:35,395,382,7.0,375,-13.0,2153.0,
2024-06-17,F0050,AA,1487,N303RG,DEP,JFK,PHX,T8,narrow,06:45,405,400,19.0,419,-5.0,2153.0,06:40
2024-06-17,F0051,DL,960,N172DZ,ARR,LAX,JFK,T4,narrow,06:45,405,387,5.0,382,-18.0,2475.0,
2024-06-17,F0052,9E,5176,N927XJ,ARR,BTV,JFK,T4,narrow,06:51,411,400,6.0,394,-11.0,266.0,
2024-06-17,F0053,B6,189,N992JB,DEP,JFK,SAN,T5,narrow,06:54,414,407,23.0,430,-7.0,2446.0,06:47
2024-06-17,F0054,DL,2390,N136DQ,DEP,JFK,MSP,T4,narrow,06:55,415,411,30.0,441,-4.0,1029.0,06:51
2024-06-17,F0055,DL,548,N535DN,ARR,PHX,JFK,T4,narrow,06:56,416,465,6.0,459,49.0,2153.0,
2024-06-17,F0056,DL,709,N544DN,ARR,SAN,JFK,T4,narrow,06:58,418,405,5.0,400,-13.0,2446.0,
2024-06-17,F0057,AA,2131,N336RU,DEP,JFK,MIA,T8,narrow,06:59,419,413,18.0,431,-6.0,1089.0,06:53
2024-06-17,F0058,B6,163,N3062J,DEP,JFK,SRQ,T5,narrow,06:59,419,418,28.0,446,-1.0,1041.0,06:58
2024-06-17,F0059,DL,8771,N397DA,DEP,JFK,ATL,T4,narrow,07:00,420,416,17.0,433,-4.0,760.0,06:56
2024-06-17,F0060,9E,5318,N695CA,ARR,ROC,JFK,T4,narrow,07:00,420,405,6.0,399,-15.0,264.0,
2024-06-17,F0061,DL,742,N176DN,DEP,JFK,LAX,T4,narrow,07:00,420,424,28.0,452,4.0,2475.0,07:04
2024-06-17,F0062,AS,33,N469AS,DEP,JFK,SFO,T7,narrow,07:00,420,416,34.0,450,-4.0,2586.0,06:56
2024-06-17,F0063,DL,1528,N814DN,DEP,JFK,MIA,T4,narrow,07:00,420,416,19.0,435,-4.0,1089.0,06:56
2024-06-17,F0064,9E,5265,N306PQ,ARR,ITH,JFK,T4,narrow,07:00,420,396,7.0,389,-24.0,189.0,
2024-06-17,F0065,9E,5363,N228PQ,ARR,SYR,JFK,T4,narrow,07:00,420,445,8.0,437,25.0,209.0,
2024-06-17,F0066,AA,2966,N93003,DEP,JFK,STT,T8,narrow,07:00,420,411,13.0,424,-9.0,1623.0,06:51
2024-06-17,F0067,YX,5810,N824MD,ARR,BUF,JFK,T8,narrow,07:00,420,432,7.0,425,12.0,301.0,
2024-06-17,F0068,DL,2042,N573DT,DEP,JFK,TPA,T4,narrow,07:00,420,468,15.0,483,48.0,1005.0,07:48
2024-06-17,F0069,DL,2320,N3768,DEP,JFK,RSW,T4,narrow,07:00,420,418,36.0,454,-2.0,1074.0,06:58
2024-06-17,F0070,DL,668,N703TW,DEP,JFK,SFO,T4,narrow,07:00,420,413,25.0,438,-7.0,2586.0,06:53
2024-06-17,F0071,AA,276,N103NN,ARR,SFO,JFK,T8,narrow,07:00,420,402,7.0,395,-18.0,2586.0,
2024-06-17,F0072,B6,201,N3157J,ARR,BUF,JFK,T5,narrow,07:00,420,408,4.0,404,-12.0,301.0,
2024-06-17,F0073,DL,699,N549DN,DEP,JFK,SEA,T4,narrow,07:00,420,502,20.0,522,82.0,2422.0,08:22
2024-06-17,F0074,B6,2015,N943JT,DEP,JFK,SFO,T5,narrow,07:00,420,416,23.0,439,-4.0,2586.0,06:56
2024-06-17,F0075,AS,607,N806AK,ARR,ANC,JFK,T7,narrow,07:03,423,452,11.0,441,29.0,3386.0,
2024-06-17,F0076,DL,1230,N395DN,DEP,JFK,AUS,T4,narrow,07:05,425,423,20.0,443,-2.0,1521.0,07:03
