flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,terminal,aircraft_type,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi
2024-08-01,F0001,B6,2202,N527JL,ARR,FLL,JFK,T5,narrow,00:13,13,,42.0,9.0,33.0,29.0,1069.0
2024-08-01,F0002,F9,3548,N646FR,ARR,SJU,JFK,T4,narrow,00:15,15,,142.0,18.0,124.0,127.0,1598.0
2024-08-01,F0003,DL,1387,N346NB,ARR,MSY,JFK,T4,narrow,00:22,22,,8.0,13.0,1435.0,-14.0,1182.0
2024-08-01,F0004,AA,2973,N856NN,ARR,MIA,JFK,T8,narrow,00:33,33,,25.0,14.0,11.0,-8.0,1089.0
2024-08-01,F0005,DL,446,N513DA,ARR,SEA,JFK,T4,narrow,00:35,35,,37.0,22.0,15.0,2.0,2422.0
2024-08-01,F0006,DL,972,N177DN,ARR,LAX,JFK,T4,narrow,00:40,40,,31.0,10.0,21.0,-9.0,2475.0
2024-08-01,F0007,DL,680,N704X,ARR,SFO,JFK,T4,narrow,00:47,47,,30.0,11.0,19.0,-17.0,2586.0
2024-08-01,F0008,B6,524,N987JT,ARR,LAX,JFK,T5,narrow,00:48,48,,47.0,12.0,35.0,-1.0,2475.0
2024-08-01,F0009,B6,738,N708JB,ARR,BQN,JFK,T5,narrow,01:42,102,,340.0,7.0,333.0,238.0,1576.0
2024-08-01,F0010,B6,1004,N996JL,ARR,SJU,JFK,T5,narrow,01:56,116,,161.0,12.0,149.0,45.0,1598.0
2024-08-01,F0011,B6,1603,N996JL,DEP,JFK,SJU,T5,narrow,05:01,301,04:59,299.0,18.0,317.0,-2.0,1598.0
2024-08-01,F0012,B6,1114,N2142J,ARR,LAX,JFK,T5,narrow,05:01,301,,311.0,15.0,296.0,10.0,2475.0
2024-08-01,F0013,B6,2348,N977JE,ARR,LAS,JFK,T5,narrow,05:04,304,,287.0,9.0,278.0,-17.0,2248.0
2024-08-01,F0014,B6,2416,N988JT,ARR,SFO,JFK,T5,narrow,05:04,304,,328.0,8.0,320.0,24.0,2586.0
2024-08-01,F0015,B6,1190,N981JT,ARR,SAN,JFK,T5,narrow,05:04,304,,322.0,8.0,314.0,18.0,2446.0
2024-08-01,F0016,B6,123,N984JB,DEP,JFK,LAX,T5,narrow,05:20,320,05:16,316.0,18.0,334.0,-4.0,2475.0
2024-08-01,F0017,DL,564,N703TW,ARR,SFO,JFK,T4,narrow,05:28,328,,329.0,5.0,324.0,1.0,2586.0
2024-08-01,F0018,B6,358,N3121J,ARR,BUR,JFK,T5,narrow,05:29,329,,356.0,9.0,347.0,27.0,2465.0
2024-08-01,F0019,B6,372,N709JB,ARR,SLC,JFK,T5,narrow,05:37,337,,376.0,12.0,364.0,39.0,1990.0
2024-08-01,F0020,DL,409,N172DN,ARR,LAX,JFK,T4,narrow,05:40,340,,391.0,11.0,380.0,51.0,2475.0
2024-08-01,F0021,B6,98,N507JT,ARR,DEN,JFK,T5,narrow,05:45,345,,346.0,8.0,338.0,1.0,1626.0
2024-08-01,F0022,B6,601,N965JT,DEP,JFK,FLL,T5,narrow,05:45,345,05:42,342.0,18.0,360.0,-3.0,1069.0
2024-08-01,F0023,AA,1032,N302SA,DEP,JFK,MIA,T8,narrow,05:55,355,05:54,354.0,16.0,370.0,-1.0,1089.0
2024-08-01,F0024,B6,66,N3118J,ARR,ABQ,JFK,T5,narrow,05:59,359,,456.0,15.0,441.0,97.0,1826.0
2024-08-01,F0025,F9,3547,N395FR,DEP,JFK,SJU,T4,narrow,05:59,359,05:57,357.0,19.0,376.0,-2.0,1598.0
2024-08-01,F0026,AA,892,N912NN,DEP,JFK,CLT,T8,narrow,06:00,360,05:59,359.0,20.0,379.0,-1.0,541.0
2024-08-01,F0027,B6,953,N3065J,DEP,JFK,PBI,T5,narrow,06:00,360,07:02,422.0,24.0,446.0,62.0,1028.0
2024-08-01,F0028,DL,2286,N703TW,DEP,JFK,ATL,T4,narrow,06:00,360,05:55,355.0,23.0,378.0,-5.0,760.0
2024-08-01,F0029,B6,281,N789JB,DEP,JFK,IAH,T5,narrow,06:00,360,05:58,358.0,15.0,373.0,-2.0,1417.0
2024-08-01,F0030,B6,1073,N3139J,DEP,JFK,BNA,T5,narrow,06:00,360,05:51,351.0,18.0,369.0,-9.0,765.0
2024-08-01,F0031,AA,1,N107NN,DEP,JFK,LAX,T8,narrow,06:00,360,,,,,,2475.0
2024-08-01,F0032,AS,22,N979AK,ARR,SEA,JFK,T7,narrow,06:00,360,,361.0,9.0,352.0,1.0,2422.0
2024-08-01,F0033,DL,701,N721TW,DEP,JFK,LAX,T4,narrow,06:00,360,05:59,359.0,28.0,387.0,-1.0,2475.0
2024-08-01,F0034,DL,438,N119DN,ARR,DEN,JFK,T4,narrow,06:00,360,,461.0,9.0,452.0,101.0,1626.0
2024-08-01,F0035,YX,5765,N227JQ,DEP,JFK,BOS,T8,narrow,06:01,361,05:58,358.0,13.0,371.0,-3.0,187.0
2024-08-01,F0036,B6,519,N3203J,DEP,JFK,ATL,T5,narrow,06:03,363,05:59,359.0,21.0,380.0,-4.0,760.0
2024-08-01,F0037,AA,10,N103NN,ARR,LAX,JFK,T8,narrow,06:09,369,,353.0,8.0,345.0,-16.0,2475.0
2024-08-01,F0038,DL,892,N922DZ,DEP,JFK,SLC,T4,narrow,06:15,375,06:15,375.0,11.0,386.0,0.0,1990.0
2024-08-01,F0039,DL,524,N572DT,ARR,LAS,JFK,T4,narrow,06:25,385,,419.0,5.0,414.0,34.0,2248.0
2024-08-01,F0040,DL,705,N507DZ,ARR,SLC,JFK,T4,narrow,06:29,389,,445.0,10.0,435.0,56.0,1990.0
2024-08-01,F0041,YX,5603,N233JQ,ARR,PWM,JFK,T8,narrow,06:29,389,,379.0,6.0,373.0,-10.0,273.0
2024-08-01,F0042,AA,76,N109NN,DEP,JFK,SFO,T8,narrow,06:30,390,06:26,386.0,18.0,404.0,-4.0,2586.0
2024-08-01,F0043,B6,2293,N999JQ,DEP,JFK,MIA,T5,narrow,06:30,390,06:50,410.0,15.0,425.0,20.0,1089.0
2024-08-01,F0044,AA,1280,N315SD,ARR,PHX,JFK,T8,narrow,06:30,390,,380.0,7.0,373.0,-10.0,2153.0
2024-08-01,F0045,B6,136,N3139J,ARR,PHX,JFK,T5,narrow,06:30,390,,610.0,8.0,602.0,220.0,2153.0
